Business Name,Overall Status,Total Approvals,Total Declines,Best Lender,Best Funding Amount,Best Factor Rate,Best Term,Best Payment Freq,Best Commission,Best Date,Lender 2,Funding Amount 2,Factor Rate 2,Commission 2,Lender 3,Funding Amount 3,Factor Rate 3,Commission 3,Lender 4,Funding Amount 4,Factor Rate 4,Commission 4,Lender 5,Funding Amount 5,Factor Rate 5,Commission 5,Declined Lender 1,Decline Reason 1,Declined Lender 2,Decline Reason 2,Declined Lender 3,Decline Reason 3,Declined Lender 4,Decline Reason 4,Declined Lender 5,Decline Reason 5
FOWLERS POOLS LLC,Approved,2,0,Vox Funding,300000,1.29,,Weekly,11.000 pts,2025-12-16,Fintegra,100000,1.32,2.50 pts,,,,,,,,,,,,,,,,,,,,,,
MOROKOT FOODS NW LLC,Approved,1,0,Vox Funding,200000,1.26,,Weekly,12.000 pts,2025-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,
SALON CRISTINA LLC,Approved,2,1,DLP,172200,1.5,,Daily,20 pts,2026-01-12,River Advance,40000,1.499,12 pts,,,,,,,,,,,,,Bizpoint,"OVERLEVERAGED, BALANCE 200K",,,,,,,,
VISANU THAI,Approved,1,4,DLP,155400,1.5,,Daily,25 pts,2025-11-26,,,,,,,,,,,,,,,,,Pearl Cash,Default,Bizpoint,"- OVERLEVERAGED (BALANCES OVER 250K, AVERAGE MONTHLY GROSS - 85K); OVERLEVERAGED (BALANCES OVER 250K, AVERAGE MONTHLY GROSS - 85K)",I Got Funded,- Not enough Mca history,Bizpoint,12 BROKERS SUBMITTED THIS DEAL,,
APPLICATION APPROVED - 504267 - BRENCON COMPANIES INC,Approved,1,0,Specialty Capital,80000,,,Weekly,5 pts,2025-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMS1,Approved,1,4,DLP,63163,,,Daily,20 pts,2025-11-04,,,,,,,,,,,,,,,,,Super Fast Cap,Reason: Excessive shopping from the merchant,Bizpoint,decisions were made based on the information provided by the Independent Sales Organization (ISO). T; Default,Revenued,Entity Type (Sole Prop).; Entity Type (Sole Prop),I Got Funded,- Overleveraged,,
ALLPRO CONSTRUCTION SERVICES,Approved,1,1,Clear Fund / Lite Fund,45000,,,Weekly,16.36 pts,2025-11-05,,,,,,,,,,,,,,,,,Revenued,Entity Type (Sole Prop).; Entity Type (Sole Prop),,,,,,,,
KP&T AUTO SERVICE,Approved,2,1,Smarter Merchant,45000,1.48,180,,0.12 pts,2025-11-03,Vox Funding,25000,1.28,12 pts,,,,,,,,,,,,,Bizpoint,decisions were made based on the information provided by the Independent Sales Organization (ISO). T,,,,,,,,
CHERRY BEAN,Approved,1,0,Fintegra,42500,1.28,,Weekly,20 pts,2025-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,
DALE PHILLIPS LOGGING INC,Approved,3,4,Specialty Capital,42000,,,Weekly,5 pts,2025-04-10,River Advance,25000,1.499,12 pts,Fuji,30,,20 pts,,,,,,,,,American Financial Center,owes enough based on revenue and too few revenue deposits,Fox,Insufficient Revenue,Silverline Funding,Low Revenue,Bizpoint,only 2 true deposits in nov,,
HAWKEYE PROTECTION SERVICES LLC,Approved,1,3,DLP,30040,1.5,,Daily,20 pts,2026-01-19,,,,,,,,,,,,,,,,,I Got Funded,- Low Real Revenue; Low Real Revenue,Bizpoint,POOR CREDIT REPORT,Silverline Funding,Low Revenue,,,,
LEVANT TRANS INC,Approved,2,2,American Financial Center,30000,1.46,168,Daily,12 pts,2025-11-20,Fuji,20000,1.499,20 pts,,,,,,,,,,,,,Capitalize Group,this submission due to:; Restricted Industry (Factored Trucking) *; Industry,I Got Funded,"-  No MCA, Low Collectibility",,,,,,
