Lender,Contact Info (Email/Phone),Requirements / Base Criteria,Notes,Tier (A-D)
,,,,
American Financial Center,"underwriting@afincen.com
markc@afincen.com
818-981-1034
",Term: 8 to 10 months,Trucking: Minimum of two trucks and average monthly revenue of $30K,A-B
,,,,
Bizpoint,underwriting@bizpointcapital.com,        Minimum Monthly Revenue: 20k / Minimum # of Deposits: 5 / TIB: 9 Months / FICO: 500,"Straight Funding: 50k Max
Reverse: 350K Max / Up to 4 positions
No Clawbacks",A-C
,,,,
BHB Funding ," ISObiz@bhbfunding.com
sabina@bhbfunding.com 

",Minimum Monthly Revenue: $15K / Positions: 1-3 / Min # of Deposits: 4 Per Month / Min # of Negative Days: 5 Per Month / TIB: 1 year / Term: 11 months / FICO: Minimum 550 / Funding Amount: Max $125K / NOT Funding CA / Funding in TEXAS 1st positions only w/UCC / Decision Logic / 5% Fee,"Trucking:
1st: Min per month (not Avg) $75K / 5 Trucks (Owned/Lease – Not Rented) / TIB: 3 years / FICO: 600
2nd: Min per month (not Avg) $100K / 5 Trucks (Owned/Lease – Not Rented) / TIB: 3 years / FICO: 600

Construction:
1st Position: Min Per month (Not Avg) $125K / TIB: 3 years / FICO: 600
2nd Position: Min Per month (Not Avg) $150K / TIB: 3 years / FICO: 600

Restaurants (1st and 2nd ONLY no 3rd): Min per month (not Avg) $40K / TIB 2 years",B
,,,,
Backd,"submissions@backd.com
vy@backd.com

","Minimum Monthly Revenue: 100k

Positions: Mainly 1st Position / can consider 2nd and 3rd on strong files

Minimum # of Deposits: 10 Per Month

Average Deal Size: $350K

Terms: Typically 10-14 months (max 16 months)

Minimum Credit: 650","Target Industries Include:
Retail / Food & Beverage / Restaurants / Bars / Cafes / Medical / Manufacturing

Prohibited Industries: Financial Services / Car Dealerships / Consulting / Real Estate Services / Legal Services / Gov't & Non-Profits / Adult Entertainment / Cannabis / Firearms / Trucking / Solar / Wholesale

LOC offers: 
- Typically 12 months / Weekly payback / APRs ranging from 35%-55% (19%-31% simple interest over 12 months)

High Risk Minimum Annual Revenue: Towing Services - 4M / Construction - 5M / Software - 5M",A-B
,,,,
Capitalize Group,"subs@capitalizegroup.com
isaac@capitalizegroup.com","Minimum Monthly Revenue: 50k (100k for Trucking)

Positions: 1+

Maximum Negative Days Per Month: 5 Days

Minimum Time In Business: 1 year

Minimum # of Deposits: 4 Per Month

Prohibited States: Utah

Terms: Max 140 Days / 32 weeks (20 weeks for trucking)","Funding Range: 25k - 500k

No funding behind reverses

Prohibited Industries: Auto Dealers (New and Used) / Financial / Real Estate / Agriculture/Farming / Gas Stations / Accounting/CPA / Staffing / Energy/Solar

Buy Rate: 1.34 - 1.38 // Sell Rate: 1.34 - 1.499

NO MORE THAN 5 NSF'S

Max Commission: 12 points",B-C
